TRAIN,CSMT,MasjidSandhurst Road,BycullaChinchpokli,Currey RoadParel,DadarMatunga,SionKurla,VidyaviharGhatkopar,VikhroliKanjur Marg,BhandupNahur,MulundThane,KalvaMumbra,DivaKopar,DombivliThakurli,KalyanVithalwadi,Ulhas NagarAmbernath,BadlapurVangani,SheluNeral,Bhivpuri RoadKarjat,PalasdhariKelavli,DolavliLowjee,KhopoliShahad,AmbivliTitwala,KhadavliVasind,AsangaonAtgaon,ThansitKhardi,UmbermalliKasara
97003,,,,,,,,,,,,,11:40,,,,,,,,,,,,,
97005,10:25,,,,,,,,,,,,,,,,,,,,,,,,,
96405,,,,10:40,,,,,,,,,,11:56,,,,,,,,,,,,
96505,,,,,,,,,,,,,,11:36,,,,,,,,,,,,
96303,,,,,,,,,,,,,,,,,,,,,,,,,,
95701,,,,,,,,,,,,,,,,,,,,,,,,,,
96301,10:34,,,,,,,,,,,,11:55,,,,,,,,,,,,,
97601,10:36,,,,,,,,,,,,,,,,,,,,,,,,,
96401,,,,,,,,,,,,,,,,,,,,,,,,,,
96101,10:40,,,,,,,,,,,,,,,12:07,,,,,,,,,,
97301,,,,,,,,,,,,,,,,,,,,,,,,,,
96001,10:48,,,,,,,,,,,,,12:18,,,,,,,,,,,,
96501,10:48,,,,,,,,,,,,,11:53,,,,,,,11:57,,,,,
96103,,,,,,,,,,,,,,,,,,,,,,,,,,
97001,10:52,,,,,,,,,,,,,,,,,,,,,,,,,
96601,,,,,,,,,,,,,,,,12:21,,,,,,,,,,
96403,,,,,,,,,,11:49,,,,12:27,,,,,,,12:32,,,13:03,,
97201,,,,11:09,,,,,,,,,,12:28,,,,,,,,,,,,
95001,10:56,,,,,,,,,,,,,,,,,,,,,,,,,
97303,10:58,,,,,,,,,,,,,12:13,,,,,,,12:18,,,,,
96105,11:00,,,,,,,,,,,,,,,,,,,,,,,,,
96603,11:04,,,,,,,,,,,,,12:34,,,,,,,12:38,,,,,
96107,11:07,,,,,,,,,,,,,,,,,,,,,,,,,
96503,11:12,,,,,,,,,,,,,,,,,,,,,,,,,
96201,11:14,,,,,,,,,,,,,,,,,,,,,,,,,
97003,,,,,,,,,,,,,,,,,,13:15,,,13:40,,,,,
97005,,,,,,,,,,12:05,,,,,,,,,,,,,,,,
96405,11:16,,,,,,,,,,,,,,,,,,,,,,,,,
96505,11:18,,,,,,,,,,,,,,,,,,,,,,,,,
96303,11:20,,,,,,,,,,,,,12:48,,,,,,,,,,,,
95701,11:24,,,,,,,,,,,,,12:53,,,,,,,12:57,,,,,
96301,,,,11:42,,,,,,,,,,12:56,,,,,,,,,,,,
97601,11:30,,,,,,,,,,,,12:50,,,,,,,,,,,,,
96401,,,,,,12:01,,,,,,,,13:04,,,,,,,,,,,,
96101,,,,,,,,,,,,,12:32,,,,,,,,,,,,,
97301,,,,,,,,,,,,,,,,,,,,,,,,,,
96001,11:40,,,,,,,,,,,,,,,,,,,,,,,,,
96501,11:42,,,,,,,,,,,,,12:47,,,,,,,12:52,,,,,
96103,,,,,,,,,,,,,,,,,,,,,,,,,,
97001,11:50,,,,,,,,,,,,,,,13:12,,,,,,,,,,
96601,,,,,,,,,,,,,,13:18,,,,,,,,,,,,
96403,11:54,,,,,,,,,,,,,13:23,,,,,,,13:27,,,,,
97201,,,,,,,,,,,,,,,,,,,,,,,,,,
95001,,,,12:17,,,,,,,,,13:22,,,,,,,,,,,,,
97303,12:07,,,,,,,,,,,,,13:36,,,,,,,,,,,,
96105,,,,,,,,,,,,,,,,13:39,,,,,,,,,,
96603,,,,,,,,,,13:06,,,,,,13:59,,,,,,,,,,
96107,12:15,,,,,,,,,,,,,13:44,,,,,,,,,,,,
96503,,,,12:34,,,,,,,,,13:39,,,,,,,,,,,,,
96201,12:20,,,,,,,,,,,,,,,,,,,,14:43,,,,,
97003,,,,,,,,,,,,,,,,,,,,,,,,,,
97005,12:25,,,,,,,,,,,,,13:29,,,,,,,,,,,,
96405,12:27,,,,,,,,,,,,,13:56,,,,,,,,,,,,
96505,12:30,,,,,,,,,,,,,13:37,,,,,,,13:41,,,,,
96303,,,,,,,,,,,,,,14:00,,,,,,,,,,,,
95701,12:38,,,,,,,,,,,,13:57,,,,,,,,,,,,,
96301,12:44,,,,,,,,,,,,,14:14,,,,,,,14:18,,,,,
97601,12:48,,,,,,,,,,,,,,,,,,,,,,,,,
96401,12:52,,,,,,,,,,,,,14:19,,,,,,,,,,,,
96101,,,,13:10,,,,,,,,,,14:23,,,,,,,,,,,,
97301,,,,,,,,,,,,,,13:57,,,,,,,,,,,,
96001,,,,,,,,,,,,,,,,,,,,,,,,,,
96501,,,,,,,,,,,,,,,,,,,,,,,,,,
96103,13:02,,,,,,,,,,,,,14:33,,,,,,,,,,,,
97001,,,,,,,,,,14:05,,,,14:43,,,,,,,14:49,,,,,
96601,,,,,,,,,,,,,,,,,,,,,,,,,,
96403,13:10,,,,,,,,,,,,,14:47,,,,,,,14:53,,,,,
97201,13:15,,,,,,,,,,,,,14:19,,,,,,,14:23,,,14:54,,
95001,,,,,,,,,,,,,,,,,,,,,,,,,,
97303,13:19,,,,,,,,,,,,,,,,,,,,,,,,,
96105,13:23,,13:30,,,,,,,,,,,,,14:49,,,,,,,,,,
96603,,,,13:35,,,,,,,,,14:40,,,,,,,,,,,,,
96107,13:26,,,,,,,,,,,,,14:55,,,,,,,,,,,,
96503,13:30,,,,,,,,,,,,,15:00,,,,,,,15:04,,,15:35,,
96201,13:38,,,,,,,,,,,,,,,,,,,,,,,,,
97003,13:40,,,,,,,,,,,,,,,,,,,,,,,,,
97005,,,,,,,,,,,,,,,,,,15:39,,,16:04,,,,,
96405,,,,,,,,,,14:33,,,,15:06,,,,,,,,,,,,
96505,13:42,,,,,,,,,,,,,15:10,,,,,,,15:14,,,,,
96303,13:46,,,,,,,,,,,,,15:14,,,,,,,,,,,,
95701,13:50,,,,,,,,,,,,,,,15:15,,,,,,,,,,
96301,13:50,,,,,,,,,,,,,,,15:39,,,,,,,,,,
97601,13:54,,,,,,,,,,,,15:13,,,,,,,,,,,,,
96401,,,,,,,,,,,,,,,,,,,,,,,,,,
96101,,,,,,,,,,,,,,,,,,,,,,,,,,
97301,,,,,,14:29,,,,,,,,15:29,,,,,,,,,,,,
96001,14:07,,,,,,,,,,,,,15:34,,,,,,,15:38,,,,,
96501,14:11,,,,,,,,,,,,,15:38,,,,,,,,,,,,
96103,14:15,,,,,,,,,,,,,,,16:02,,,,,,,,,,
97001,14:17,,,,,,,,,,,,,15:26,,,,,,,15:31,,,,,
96601,14:20,,,,,,,,,,,,,15:49,,,,,,,,,,,,
96403,,,,,,,,,,,,,,15:53,,,,,,,,,,,,
97201,,,,,,,,,,,,,,,,,,,,,,,,,,
95001,14:34,,,,,,,,,,,,,,,,,,,,,,,,,
97303,14:38,,,,,,,,,,,,,16:06,,,,,,,,,,,,
96105,14:42,,,,,,,,,,,,,15:48,,,,,,,15:53,,,16:25,,
96603,14:45,,,,,,,,,,,,,,,,,,,,,,,,,
96107,,,,14:57,,,,,,,,,,16:10,,,,,,,,,,,,
96503,14:46,,,,,,,,,,,,,16:14,,,,,,,16:18,,,,,
96201,14:54,,,,,,,,,,,,,,,,,,,,,,,,,
97003,14:58,,,,,,,,,,,,,16:26,,,,,,,,,,,,
97005,,,,,,,,,,,,,,,,,,,,,,,,,,
96405,15:03,,,,,,,,,,,,,,,16:27,,,,,,,,,,
96505,,,,,,,,,,15:58,,,,,,16:52,,,,,,,,,,
96303,,,,15:21,,,,,,,,,,16:34,,,,,,,,,,,,
95701,15:09,,,,,,,,,,,,,16:39,,,,,,,16:43,,,,,
97007,15:10,,,,,,,,,,,,,,,,,,,,17:36,,,,,
96301,15:13,,,,,,,,,,,,16:33,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,16:20,,,,,,,,,,,,
96401,,,,,,,,,,,,,,16:24,,,,,,,16:28,,,,,
96101,15:18,,,,,,,,,,,,,16:46,,,,,,,,,,,,
97301,,,,,,,,,,,,,16:43,,,,,,,,,,,,,
96001,15:28,,,,,,,,,,,,,,,,,,,,,,,,,
96501,15:32,,,,,,,,,,,,,17:02,,,,,,,17:06,,,17:37,,
96103,15:35,,,,,,,,,,,,,,,,,,,,,,,,,
97001,,,,15:50,,,,,,,,,,17:05,,,,,,,,,,,,
96601,15:39,,,,,,,,,,,,,,,17:08,,,,,,,,,,
96403,15:40,,,,,,,,,,,,,17:10,,,,,,,17:14,,,,,
97201,15:45,,,,,,,,,,,,17:05,,,,,,,,,,,,,
95001,,,,16:09,,,,,,,,,,,,,,,,,,,,,,
97303,,,,,,,,,,16:50,,,,,,,,,,,,,,,,
96105,15:57,,,,,,,,,,,,,17:26,,,,,,,,,,,,
96603,,,,,,,,,,,,,17:20,,,,,,,,,,,,,
96107,16:08,,,,,16:33,,,,,,,,,,,,,,,,,,,,
96503,16:04,,,,,,,,,,,,,17:33,,,,,,,,,,,,
96201,,,,,,,,,,,,,,,,,,,,,,,,,,
97003,,,,,,,,,,,,,,17:19,,,,,,,,,,,,
97005,16:13,,,,,,,,,,,,,,,,,,,,,,,,,
96405,16:17,,,,,,,,,,,,,17:29,,,,,,,17:34,,,18:06,,
96505,16:17,,,,,,,,,,,,,,,,,,,,,,,,,
96303,16:21,,,,,,,,,,,,,17:51,,,,,,,17:55,,,,,
95701,16:30,,,,,,,,,,,,,,,,,,,,,,,,,
97007,,,,,,16:54,,,,,,,,17:55,,,,,,,,,,,,
96301,,,,,,,,,,17:25,,,,17:58,,,,,,,,,,,,
97601,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,16:34,,,,,,,,,,,,17:52,,,,,,,,,,,,,
96101,,,,,,,,,,,,,,,,,,,,,,,,,,
97301,,,,,,,,,,,,,,,,,,,,,,,,,,
96001,,,,,,,,,,,,,,18:14,,,,,,,,,,,,
96501,16:42,,,,,,,,,,,,,,,18:07,,,,,,,,,,
96103,16:48,,,,,,,,,,,,,18:18,,,,,,,,,,,,
97001,16:50,,,,,,,,,,,,,18:07,,,,,,,18:12,,,,,
96601,16:52,,,,,,,,,,,,,,,,,,,,,,,,,
96403,,,,,,,,,,,,,,,,,,,,,,,,,,
97201,,,,,,,,,,17:48,,,,,,,,,,,,,,,,
95001,,,,17:10,,,,,,,,,18:16,,,,,,,,,,,,,
97303,,,,,,,,,,,,,,18:29,,,,,,,,,,,,
96105,17:00,,,,,,,,,,,,,18:34,,,,,,,,,,,,
96603,17:04,,,,,,,,,,,,,,,,,,,,,,,,,
96107,17:08,,,,,,,,,,,,18:29,,,,,,,,,,,,,
96503,,,,,,,,,,,,,,,,,,,,,,,,,,
96201,,,,,,,,,,,,,,18:18,,,,,,,,,,,,
97003,17:16,,,,,,,,,,,,,18:46,,,,,,,,,,,,
97005,17:19,,17:28,,,,,,,,,,,18:26,,,,,,,18:31,,,19:02,,
96405,17:22,,,,,,,,,,,,,,,18:48,,,,,,,,,,
96505,,,,17:35,,,,,,,,,,18:49,,,,,,,,,,,,
96303,,,,,,,,,,,,,,,,,,,,,,,,,,
95701,17:25,,,,,,,,,,,,,18:42,,,,,,,,,,,,
96301,,,,,,,,,,,,,,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,18:57,,,,,,,,,,,,
96401,17:29,,,,,,,,,,,,,18:34,,,,,,,18:38,,,,,
96101,17:32,,,,,,,,,,,,,,,,,,,,,,,,,
97301,17:33,,,,,,,,,,,,,,,,,,,,19:55,,,,,
96001,17:36,,,,,,,,,,,,,19:04,,,,,,,,,,,,
96501,17:37,,,,,,,,,,,,18:43,,,,,,,,,,,,,
96103,17:41,,,,,,,,,,,,,,,,,,,,,,,,,
97001,,,,17:55,,,,,,,,,18:58,,,,,,,,,,,,,
96601,17:44,,,,,,,,,,,,,,,,,,,,,,,,,
96403,17:45,,,,,,,,,,,,,18:50,,,,,,,18:55,,,19:29,,
97201,,,,,,,,,,,,,,19:01,,,,,,,,,,,,
95001,,,,,,,,,,,,,,19:13,,,,,,,,,,,,
97303,,,,,,,,,,,,,,,,,,,,,,,,,,
96105,17:52,,,,,,,,,,,,,19:21,,,,,,,,,,,,
96603,17:56,,,,,,,,,,,,,19:02,,,,,,,19:07,,,,,
96107,,,,,,,,,,18:50,,,,,,19:47,,,,,,,,,,
96503,17:57,,,,,,,,,,,,19:19,,,,,,,,,,,,,
96201,17:59,,,,,,,,,,,,,,,19:26,,,,,,,,,,
97003,18:03,,,,,,,,,,,,,19:18,,,,,,,,,,,,
97005,,,,18:15,,,,,,,,,,19:32,,,,,,,,,,,,
96405,,,,,,,,,,,,,,,,,,,,,,,,,,
96505,18:06,,,,,,,,,,,,,,,,,,,,,,,,,
96303,,,,,,,,,,,,,,19:37,,,,,,,,,,,,
95701,18:10,,,,,,,,,,,,,,,,,,,,,,,,,
96301,18:14,,,,,,,,,,,,,19:42,,,,,,,,,,,,
97601,,,,,,,,,,,,,19:37,,,,,,,,,,,,,
