route_id,service_id,trip_id,direction_id
CL,DAILY,CR_DN_97371_1,0
CL,DAILY,CR_DN_95231_1,0
CL,DAILY,CR_DN_96209_1,0
CL,DAILY,CR_DN_97105_1,0
CL,DAILY,CR_DN_96635_1,0
CL,DAILY,CR_DN_95007_1,0
CL,DAILY,CR_DN_97233_1,0
CL,DAILY,CR_DN_95721_1,0
CL,DAILY,CR_DN_95611_1,0
CL,DAILY,CR_DN_97107_1,0
CL,DAILY,CR_DN_97235_1,0
CL,DAILY,CR_DN_97373_1,0
CL,DAILY,CR_DN_96517_1,0
CL,DAILY,CR_DN_95125_1,0
CL,DAILY,CR_DN_97109_1,0
CL,DAILY,CR_DN_95233_1,0
CL,DAILY,CR_DN_96637_1,0
CL,DAILY,CR_DN_97237_1,0
CL,DAILY,CR_DN_97375_1,0
CL,DAILY,CR_DN_96323_1,0
CL,DAILY,CR_DN_97113_1,0
CL,DAILY,CR_DN_97239_1,0
CL,DAILY,CR_DN_95319_1,0
CL,DAILY,CR_DN_97115_1,0
CL,DAILY,CR_DN_97377_1,0
CL,DAILY,CR_DN_95723_1,0
CL,DAILY,CR_DN_96325_1,0
CL,DAILY,CR_DN_95509_1,0
CL,DAILY,CR_DN_97379_1,0
CL,DAILY,CR_DN_96639_1,0
CL,DAILY,CR_DN_95127_1,0
CL,DAILY,CR_DN_97117_1,0
CL,DAILY,CR_DN_97119_1,0
CL,DAILY,CR_DN_97381_1,0
CL,DAILY,CR_DN_97241_1,0
CL,DAILY,CR_DN_97383_1,0
CL,DAILY,CR_DN_97625_1,0
CL,DAILY,CR_DN_97121_1,0
CL,DAILY,CR_DN_95235_1,0
CL,DAILY,CR_DN_97123_1,0
CL,DAILY,CR_DN_95415_1,0
CL,DAILY,CR_DN_97385_1,0
CL,DAILY,CR_DN_95321_1,0
CL,DAILY,CR_DN_96111_1,0
CL,DAILY,CR_DN_97243_1,0
CL,DAILY,CR_DN_97125_1,0
CL,DAILY,CR_DN_97127_1,0
CL,DAILY,CR_DN_97387_1,0
CL,DAILY,CR_DN_97245_1,0
CL,DAILY,CR_DN_97389_1,0
CL,DAILY,CR_DN_95725_1,0
CL,DAILY,CR_DN_97129_1,0
CL,DAILY,CR_DN_95511_1,0
CL,DAILY,CR_DN_95237_1,0
CL,DAILY,CR_DN_97131_1,0
CL,DAILY,CR_DN_97391_1,0
CL,DAILY,CR_DN_95727_1,0
CL,DAILY,CR_DN_97627_1,0
CL,DAILY,CR_DN_97133_1,0
CL,DAILY,CR_DN_95613_1,0
CL,DAILY,CR_DN_97393_1,0
CL,DAILY,CR_DN_95009_1,0
CL,DAILY,CR_DN_97135_1,0
CL,DAILY,CR_DN_95803_1,0
CL,DAILY,CR_DN_95323_1,0
CL,DAILY,CR_DN_97247_1,0
CL,DAILY,CR_DN_97629_1,0
CL,DAILY,CR_DN_95513_1,0
CL,DAILY,CR_DN_95729_1,0
CL,DAILY,CR_DN_97137_1,0
CL,DAILY,CR_DN_97395_1,0
CL,DAILY,CR_DN_97139_1,0
CL,DAILY,CR_DN_95615_1,0
CL,DAILY,CR_DN_96211_1,0
CL,DAILY,CR_DN_97249_1,0
CL,DAILY,CR_DN_95239_1,0
CL,DAILY,CR_DN_95731_1,0
CL,DAILY,CR_DN_97141_1,0
CL,DAILY,CR_DN_97397_1,0
CL,DAILY,CR_DN_95325_1,0
CL,DAILY,CR_DN_97143_1,0
CL,DAILY,CR_DN_95911_1,0
CL,DAILY,CR_DN_97145_1,0
CL,DAILY,CR_DN_97251_1,0
